key,SeriesCode,line,level,label,gs
DTCSR,DTCSRG,282,5,Telecommunication services (71),S
DPSSR,DPSSRG,286,5,Postal and delivery services (68),S
DINTR,DINTRG,289,5,Internet access (72),S
DHEDR,DHEDRG,291,5,Higher education (97),S
DNEHR,DNEHRG,294,5,"Nursery, elementary, and secondary schools (98)",S
DVEDR,DVEDRG,297,5,Commercial and vocational schools (99),S
DGALR,DGALRG,299,5,Legal services,S
DPROR,DPRORG,300,5,Accounting and other business services,S
DUNSR,DUNSRG,304,5,Labor organization dues,S
DAXSR,DAXSRG,305,5,Professional association dues,S
DFUNR,DFUNRG,306,5,Funeral and burial services,S
DPCSR,DPCSRG,308,5,Personal care services,S
DCFSR,DCFSRG,311,5,Clothing and footwear services,S
DCHCR,DCHCRG,316,5,Child care,S
DSCWR,DSCWRG,317,5,Social assistance,S
DSADR,DSADRG,324,5,Social advocacy and civic and social organizations,S
DDMSR,DDMSRG,328,5,Domestic services,S
DMSER,DMSERG,329,5,"Moving, storage, and freight services",S
DFRER,DFRERG,330,5,"Repair of furniture, furnishings, and floor coverings",S
DERER,DERERG,331,5,Repair of household appliances,S
DMHSR,DMHSRG,332,5,Other household services,S
DFTRR,DFTRRG,334,5,Foreign travel by U.S. residents (129),S
DSASR,DSASRG,366,4,Services of social advocacy establishments to households,S
