# wage_uprating.csv -- PUBLISHED statutory uprating decisions.
#
# This file is a VALIDATION TARGET, not a model input. The pipeline implements
# each country's uprating *rule* (ism.wage_pipeline.benefit_index) and applies
# it to observed price and wage data; this table is what the rule has to
# reproduce. Where the implemented rule and the published decision disagree by
# more than 0.1pp, ism.wage_validate reports it.
#
# effective_month is the month the higher payment actually reaches recipients.
# For US OASDI that is January of the year after the COLA's nominal year: the
# SSA table labels a COLA by the December it is effective for, and December
# benefits are paid in January. The 1975-82 COLAs were paid from June of their
# own year.
country,programme,nominal_year,effective_month,pct,rule,source
US,OASDI,2014,2015-01,1.7,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2015,2016-01,0.0,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2016,2017-01,0.3,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2017,2018-01,2.0,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2018,2019-01,2.8,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2019,2020-01,1.6,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2020,2021-01,1.3,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2021,2022-01,5.9,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2022,2023-01,8.7,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2023,2024-01,3.2,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
US,OASDI,2024,2025-01,2.5,"Q3 average CPI-W over the highest previous Q3, Social Security Act s.215(i)","SSA Office of the Chief Actuary, COLA series"
