,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,gpty,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_minwage,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1960-01-01,1.9194482836092153,-0.3799434215448372,1.9194482836092153,7.663326218764133,6.611746890851045,,,,,,0.0,,,,,0.0,0.38,0.0,0.0,0.11399999999999999,0.0,0.0,0.0,0.0,1.6059882841807394,,,-351.44526029705423,0.3134599994284759,6.418211223360577,21.479743386597363,,100.0,100.0,DE
1960-04-01,2.197859763710408,2.2747874978387372,2.197859763710408,9.134988611810085,12.90432866966964,,,,,,0.0,,,,,0.0,0.3796262833675565,0.0,0.0,0.11388788501026695,0.0,0.0,0.0,0.0,1.724362580086673,,,-348.78787500409646,0.47349718362373494,6.628644109472792,21.602246020041772,,100.0,100.0,DE
1960-07-01,1.2363121930778487,0.0,1.2363121930778487,10.536051565782628,12.501002182029541,,,,,,0.0,,,,,0.0,0.37925256673511293,0.0,0.0,0.11377577002053388,0.0,0.0,0.0,0.0,1.6267525026849081,,,-345.66262445858905,-0.39044030960705944,6.839076995585007,21.602246020041772,,107.96460567463768,100.0,DE
1960-10-01,0.7568728968970095,1.132647511294138,0.7568728968970095,12.516315313771697,18.048183512536564,,,,,,0.0,,,,,0.0,0.3788747433264887,0.0,0.0,0.1136624229979466,0.0,0.0,0.0,0.0,1.4527765815273284,,,-341.43374045827846,-0.6959036846303188,7.154726871215862,21.663502031430696,,107.96460567463768,100.0,DE
1961-01-01,1.7899537972086765,3.752380179701831,1.7899537972086765,11.595977917245698,2.9303973047470455,,,,,,0.0,,,,,0.0,0.3784969199178645,0.0,0.0,0.11354907597535935,0.0,0.0,0.0,0.0,1.520212024663598,,0.18396551302793718,-341.63923617701715,0.2697417725450786,7.207334819512649,21.867682476504815,,107.96460567463768,100.0,DE
1961-04-01,1.9654563919192292,2.9767978766809478,1.9654563919192292,10.536046619408612,8.664603478321297,,,,,,0.0,,,,,0.0,0.37812731006160166,0.0,0.0,0.11343819301848049,0.0,0.0,0.0,0.0,1.6092608981147243,,0.24109381183255607,-340.2172847766071,0.3561954938045049,7.365159757328079,22.031028710430803,,107.96460567463768,100.0,DE
1961-07-01,2.6121026554055238,2.5865850539451785,2.6121026554055238,10.227880472988057,11.268337596347322,,,,,,0.0,,,,,0.0,0.3777535934291581,0.0,0.0,0.11332607802874742,0.0,0.0,0.0,0.0,1.8098292495728843,,0.9853501527206157,-338.0468466410066,0.8022734058326395,7.575592643440293,22.173953144116005,,121.23893008094808,100.0,DE
1961-10-01,2.696572089874749,1.4705252491710397,2.696572089874749,8.455728894330164,10.959577197904991,,,,,,0.0,,,,,0.0,0.3773757700205339,0.0,0.0,0.11321273100616017,0.0,0.0,0.0,0.0,1.9871778176332573,,1.2437955083474208,-335.6745836538231,0.7093942722414919,7.786025529552506,22.255621566412277,,121.23893008094808,100.0,DE
1962-01-01,3.30610926546826,6.190528882075874,3.30610926546826,11.697178293090252,15.896194899787396,,,,,,0.0,,,,,0.0,0.37699794661190966,0.0,0.0,0.11309938398357289,0.0,0.0,0.0,0.0,2.2509641072002577,-2.8348916855393895,1.785897240804662,-333.2481671493952,1.0551451582680023,8.101676498108436,22.602735834505044,,121.23893008094808,100.0,DE
1962-04-01,3.102427803476715,2.1620720287147677,3.102427803476715,12.095267240386812,10.256959267507536,,,,,,0.0,,,,,0.0,0.37662833675564683,0.0,0.0,0.11298850102669404,0.0,0.0,0.0,0.0,2.4212568464555493,-2.698065375722024,1.4931669053619907,-331.224445339697,0.6811709570211657,8.312109384220651,22.72523846794945,,121.23893008094808,100.0,DE
1962-07-01,2.365918527492328,-0.35945204999237035,2.365918527492328,10.536053008475122,5.031480668700561,,,,,,0.0,,,,,0.0,0.37625462012320326,0.0,0.0,0.11287638603696097,0.0,0.0,0.0,0.0,2.410189182662905,-1.8978556883766942,0.5560892779194435,-329.87671216002377,-0.04427065517057738,8.417325280814223,22.704826057042105,,136.2831913724034,100.0,DE
1962-10-01,2.4469204185352034,1.794532813342542,2.4469204185352034,9.653798301844681,7.430558371383228,,,,,,0.0,,,,,0.0,0.3758767967145791,0.0,0.0,0.11276303901437372,0.0,0.0,0.0,0.0,2.417535429837365,-1.2874218229926555,0.4597426009019461,-328.4677057705136,0.029384988697838565,8.57515021862965,22.80691627957917,,136.2831913724034,100.0,DE
