country,start,end,nobs,lambda_min,lambda_max
US,1961-01-01,2026-04-01,262,0.014,0.124
UK,1973-10-01,2026-04-01,211,0.058,0.416
FR,1985-10-01,2026-01-01,162,0.236,0.274
DE,1993-10-01,2026-01-01,130,0.043,0.071
BE,2001-01-01,2026-01-01,101,1.0,1.0
IT,1985-10-01,2026-01-01,162,0.14,0.492
ES,1989-01-01,2026-01-01,149,0.0,0.21
